,connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,week.1,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,season.1,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
0,2020_01_ARI_SF_Humphries,2020_ARI_74_Humphries,2020_01_ARI_SF,SF,ARI,REG,1,ARI,away,SF,SF,34,44087,327,327,327,Half2,4,3.0,SF 34,6,"(5:27) (No Huddle, Shotgun) 1-K.Murray pass short right to 10-D.Hopkins for 34 yards, TOUCHDOWN. ARI-74-D.Humphries was injured during the play. Caught SF 27, 26-YAC The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (No Huddle, Shotgun) 1-K.Murray pass short right to 10-D.Hopkins to SF 1 for 33 yards (29-J.Tartt). ARI-74-D.Humphries was injured during the play. Caught SF 27, 26-YAC",D,Humphries,ARI,74,contact,lower body,run defender,2020,ARI,OL,T,74,Active,D.J. Humphries,DeMarcus,Humphries,12/28/93,77,307,Florida,5,REG,D.J.,32004855-4d72-8022-b4bf-94e3429ecec8,2015,1,Sun,9/13/20,16:25:00,Arizona Cardinals,San Francisco 49ers,24,20,404,1,366,0,2020,True,San Francisco 49ers,Arizona Cardinals,SF,ARI,2,190,"Bermuda Grass,Perennial Ryegrass Mixture",Grass,Levi's Stadium,False,73.0,73.0,6.25,57.0,0.0,37.4029,-121.9678,33.5276,-112.2626,607.8612283,0,0
1,2020_01_ARI_SF_Jones,2020_ARI_55_Jones,2020_01_ARI_SF,SF,ARI,REG,1,SF,home,ARI,ARI,48,44087,172,172,172,Half2,4,1.0,ARI 48,10,"(2:52) 10-J.Garoppolo pass short left to 26-T.Coleman to ARI 42 for 6 yards (32-B.Baker). ARI-55-C.Jones was injured during the play. caught at ARI 42, 0 YAC",C,Jones,ARI,55,contact,unknown,run defender,2020,ARI,LB,OLB,55,R/Injured,Chandler Jones,Chandler,Jones,2/27/90,77,265,Syracuse,8,REG,Chandler,32004a4f-4e15-7557-51cb-cda4be7bedd9,2012,1,Sun,9/13/20,16:25:00,Arizona Cardinals,San Francisco 49ers,24,20,404,1,366,0,2020,True,San Francisco 49ers,Arizona Cardinals,SF,ARI,2,190,"Bermuda Grass,Perennial Ryegrass Mixture",Grass,Levi's Stadium,False,73.0,73.0,6.25,57.0,0.0,37.4029,-121.9678,33.5276,-112.2626,607.8612283,0,0
2,2020_01_CHI_DET_Coleman,2020_DET_27_Coleman,2020_01_CHI_DET,DET,CHI,REG,1,CHI,away,DET,DET,10,44087,131,131,1931,Half1,2,3.0,DET 10,9,(2:11) (Shotgun) 10-M.Trubisky pass incomplete short right to 85-C.Kmet. DET-27-J.Coleman was injured during the play. He is Out.,J,Coleman,DET,27,contact,lower body,pass blocker,2020,DET,DB,CB,27,Active,Justin Coleman,Justin,Coleman,3/27/93,71,190,Tennessee,5,REG,Justin,3200434f-4c29-4032-6cc8-84e808480389,2015,1,Sun,9/13/20,13:00:00,Chicago Bears,Detroit Lions,27,23,363,0,426,1,2020,True,Detroit Lions,Chicago Bears,DET,CHI,3,195,FieldTurf Classic HD,Turf,Ford Field,True,75.0,75.25,11.0,58.75,0.0,42.34,-83.0455,42.256,-87.8954,247.9047176,0,0
3,2020_01_CHI_DET_Daniels,2020_CHI_68_Daniels,2020_01_CHI_DET,DET,CHI,REG,1,CHI,away,DET,CHI,67,44087,602,1502,1502,Half2,3,2.0,CHI 33,2,(10:02) 32-D.Montgomery left tackle to CHI 43 for 10 yards (21-T.Walker; 51-J.Tavai). CHI-68-J.Daniels was injured during the play.,J,Daniels,CHI,68,contact,lower body,run blocker,2020,CHI,OL,G,68,R/Injured,James Daniels,James,Daniels,9/13/97,76,305,Iowa,2,WC,James,32004441-4e55-9931-e8d6-d8558958d2cc,2018,1,Sun,9/13/20,13:00:00,Chicago Bears,Detroit Lions,27,23,363,0,426,1,2020,True,Detroit Lions,Chicago Bears,DET,CHI,3,195,FieldTurf Classic HD,Turf,Ford Field,True,75.0,75.25,11.0,58.75,0.0,42.34,-83.0455,42.256,-87.8954,247.9047176,0,0
4,2020_01_CHI_DET_Trufant,2020_DET_23_Trufant,2020_01_CHI_DET,DET,CHI,REG,1,CHI,away,DET,DET,19,44087,64,964,964,Half2,3,1.0,DET 19,10,(1:04) (Shotgun) 10-M.Trubisky scrambles up the middle to DET 13 for 6 yards (51-J.Tavai). DET-23-D.Trufant was injured during the play. He is Out.,D,Trufant,DET,23,non contact,lower body,AFP,2020,DET,DB,CB,23,R/Injured,Desmond Trufant,Desmond,Trufant,09/10/1990,73,190,Washington,7,REG,Desmond,32005452-5538-1665-bbde-d454e0e1e93a,2013,1,Sun,9/13/20,13:00:00,Chicago Bears,Detroit Lions,27,23,363,0,426,1,2020,True,Detroit Lions,Chicago Bears,DET,CHI,3,195,FieldTurf Classic HD,Turf,Ford Field,True,75.0,75.25,11.0,58.75,0.0,42.34,-83.0455,42.256,-87.8954,247.9047176,0,0
5,2020_01_DAL_LAR_Erving,2020_DAL_75_Erving,2020_01_DAL_LAR,LAR,DAL,REG,1,DAL,away,LA,LA,35,44087,317,317,2117,Half1,2,4.0,LA 35,7,"(5:17) 2-G.Zuerlein 53 yard field goal is No Good, Wide Right, Center-91-L.Ladouceur, Holder-6-C.Jones. DAL-75-C.Erving was injured during the play.",C,Erving,DAL,75,unknown,unknown,unknown,2020,DAL,OL,T,75,R/Injured,Cameron Erving,Cameron,Erving,8/23/92,78,313,Florida State,5,REG,Cameron,32004552-5628-8583-d854-14a2bec5e2b8,2015,1,Sun,9/13/20,20:20:00,Los Angeles Rams,Dallas Cowboys,20,17,422,1,380,0,2020,False,Los Angeles Rams,Dallas Cowboys,LAR,DAL,1,190,Hellas Matrix Turf,Turf,SoFi Stadium,True,71.5,71.5,5.25,62.5,0.0,33.8642,-118.261,32.9049,-97.0359,1224.23143,0,0
6,2020_01_GB_MIN_Clark,2020_GB_97_Clark,2020_01_GB_MIN,MIN,GB,REG,1,MIN,home,GB,MIN,75,44087,34,34,1834,Half1,2,2.0,MIN 25,10,(:34) (Shotgun) 8-K.Cousins pass deep right intended for 19-A.Thielen INTERCEPTED by 23-J.Alexander at MIN 41. 23-J.Alexander to MIN 45 for -4 yards (19-A.Thielen). GB-97-K.Clark was injured during the play.,K,Clark,GB,97,contact,upper body,pass rusher,2020,GB,DL,NT,97,Active,Kenny Clark,Kenneth,Clark,10/04/1995,75,314,UCLA,4,CON,Kenny,3200434c-4140-9251-2f88-d454b8ae633b,2016,1,Sun,9/13/20,13:00:00,Green Bay Packers,Minnesota Vikings,43,34,522,0,382,1,2020,True,Minnesota Vikings,Green Bay Packers,MIN,GB,3,174,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,True,67.0,67.0,2.75,67.75,0.0,44.9746,-93.2598,44.5011,-88.0623,257.1494722,0,0
7,2020_01_GB_MIN_Gary,2020_GB_52_Gary,2020_01_GB_MIN,MIN,GB,REG,1,MIN,home,GB,MIN,53,44087,135,135,135,Half2,4,2.0,MIN 47,1,"(2:15) (No Huddle, Shotgun) 25-A.Mattison right guard to GB 45 for 8 yards (55-Z.Smith). GB-52-R.Gary was injured during the play.",R,Gary,GB,52,non contact,unknown,run blocker,2020,GB,LB,OLB,52,Active,Rashan Gary,Rashan,Gary,12/03/1997,77,277,Michigan,1,CON,Rashan,32004741-5276-6759-8729-700e2dfb98cd,2019,1,Sun,9/13/20,13:00:00,Green Bay Packers,Minnesota Vikings,43,34,522,0,382,1,2020,True,Minnesota Vikings,Green Bay Packers,MIN,GB,3,174,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,True,67.0,67.0,2.75,67.75,0.0,44.9746,-93.2598,44.5011,-88.0623,257.1494722,0,0
8,2020_01_GB_MIN_Taylor,2020_GB_65_Taylor,2020_01_GB_MIN,MIN,GB,REG,1,GB,away,MIN,MIN,46,44087,749,749,749,Half2,4,1.0,MIN 46,10,"(12:29) 33-A.Jones right end to MIN 43 for 3 yards (50-E.Wilson). FUMBLES (50-E.Wilson), ball out of bounds at MIN 43. GB-65-L.Taylor was injured during the play.",L,Taylor,GB,65,contact,upper body,run blocker,2020,GB,OL,G,65,R/Injured,Lane Taylor,Lane,Taylor,11/22/89,75,324,Oklahoma State,7,CON,Lane,32005441-5950-1908-befe-c4876277577d,2013,1,Sun,9/13/20,13:00:00,Green Bay Packers,Minnesota Vikings,43,34,522,0,382,1,2020,True,Minnesota Vikings,Green Bay Packers,MIN,GB,3,174,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,True,67.0,67.0,2.75,67.75,0.0,44.9746,-93.2598,44.5011,-88.0623,257.1494722,0,0
9,2020_01_HOU_KC_Saunders,2020_KC_99_Saunders,2020_01_HOU_KC,KC,HOU,REG,1,HOU,away,KC,KC,28,44084,339,1239,3039,Half1,1,1.0,KC 28,10,(5:39) 4-D.Watson pass short left to 13-B.Cooks to KC 19 for 9 yards (53-A.Hitchens). KC-99-K.Saunders was injured during the play.,K,Saunders,KC,99,non contact,upper body,tackler,2020,KC,DL,DT,99,Active,Khalen Saunders,Khalen,Saunders,08/09/1996,72,324,Western Illinois,1,SB,Khalen,32005341-5569-3939-9295-450ef4e2975c,2019,1,Thu,09/10/2020,20:20:00,Kansas City Chiefs,Houston Texans,34,20,369,0,360,1,2020,False,Kansas City Chiefs,Houston Texans,KC,HOU,1,170,Bermuda Grass,Grass,Arrowhead Stadium,False,58.0,58.0,6.0,83.75,0.0,39.0482,-94.4831,29.6849,-95.4106,649.1290048,0,0
